# sheet-22-hawkesbury — auto-saved 2026-08-02T02:55:56.581Z.
# 18 controls. Re-import this file to restore the session.
pixel_x,pixel_y,lon,lat,role,label
9668,6803,-61.22955322265626,45.528478773604206,control,corner-se
6366,5362.999522408426,-61.370658874511726,45.607913248188815,control,gcp-2
5307.0009765625,3429.3918809432435,-61.42224311828614,45.66960445277262,control,gcp-3
6013.0009765625,3358.895074836894,-61.38936996459962,45.67290314089456,control,gcp-4
4823.0009765625,1552.396447912669,-61.44464492797852,45.729610457300396,control,gcp-5
6271.0009765625,2903.3955225789946,-61.376903057098396,45.68746023970692,control,gcp-6
7431.5009765625,3092.3988060210654,-61.32336616516114,45.682498396363584,control,gcp-7
8701.597747421249,1779.1695892057853,-61.26525878906251,45.72445763678592,control,gcp-8
9357.852523290701,1600.027547285177,-61.23629093170167,45.729670359431836,control,gcp-9
9540.5009765625,1167.916864952454,-61.22920989990235,45.74437719124025,control,gcp-10
5145.0009765625,1054.8980896337043,-61.43056869506837,45.74608427426337,control,gcp-11
5850.5009765625,2236.886388640143,-61.396880149841316,45.70698851311449,control,gcp-12
4799.5009765625,2266.384120080167,-61.444344520568855,45.70492049970628,control,gcp-13
4520.0009765625,1554.3885676516993,-61.45876407623292,45.72999978681681,control,gcp-14
6093.499579944089,6138.366506736395,-61.38387680053712,45.58274911297632,control,gcp-16
2813.5009765625,2968.367822267707,-61.53910160064698,45.6809993109188,control,gcp-17
1582.5077384313572,3960.8658563453396,-61.59528851509095,45.647370866133784,control,gcp-18
1639.0009765625,6141.878777024434,-61.589205265045166,45.57834866534863,control,gcp-19
